query,query_type,expanded_query,ndcg_no_qe,ndcg_with_qe,delta
When was the Eiffel Tower constructed and by whom,factual,When was the Eiffel Tower constructed and by whom be alexandre gustave eiffel construct build make manufacture,0.3306,0.4685,0.1378
What country did Marie Curie emigrate from to study in Paris,factual,What country did Marie Curie emigrate from to study in Paris state nation land do pierre curie marie curie madame curie analyze analyse examine french capital capital of france genus paris,0.5204,0.6611,0.1406
Year the Berlin Wall fell,factual,Year the Berlin Wall fell german capital irving berlin drop cut down fall,0.4201,0.9822,0.5621
Capital city of Australia,factual,Capital city of Australia working capital capital letter uppercase metropolis urban center commonwealth of australia,0.6993,0.9502,0.2510
First human landing on the Moon mission name,factual,First human landing on the Moon mission name beginning start landing place lunar month lunation moonlight missionary post missionary station foreign mission,1.0000,1.0000,0.0000
What language is spoken in Brazil,factual,What language is spoken in Brazil linguistic communication speech spoken communication be speak talk utter federative republic of brazil brasil brazil nut,0.9341,0.8634,-0.0707
Height of Mount Everest in metres,factual,Height of Mount Everest in metres tallness elevation stature mountain mount everest mt. everest metre meter,0.9957,0.8592,-0.1365
Who invented the telephone Alexander Graham Bell,factual,Who invented the telephone Alexander Graham Bell invent manufacture phone telephone set telephony alexanders alexander the great billy graham william franklin graham martha graham doorbell ship's bell bell shape,0.9595,1.0000,0.0405
Treaty that ended World War One,factual,Treaty that ended World War One pact end finish universe earth globe warfare state of war,0.5681,0.8027,0.2346
Population of Tokyo metropolitan area,factual,Population of Tokyo metropolitan area japanese capital capital of japan region surface area,0.9331,0.5255,-0.4076
Year Charles Darwin published On the Origin of Species,factual,Year Charles Darwin published On the Origin of Species twelvemonth charles ix charles vii charles ii charles darwin charles robert darwin publish origination ancestry,0.5712,0.5591,-0.0120
Which ocean is the deepest Mariana Trench location,factual,Which ocean is the deepest Mariana Trench location sea be deep placement locating position,0.8287,0.8508,0.0221
Founder of the Microsoft Corporation,factual,Founder of the Microsoft Corporation founding father father corp,0.6663,0.0000,-0.6663
What element has atomic number 79,factual,What element has atomic number 79 component chemical element have have got nuclear phone number telephone number numeral,0.9295,0.9548,0.0253
Year the Soviet Union dissolved,factual,Year the Soviet Union dissolved labor union trade union trades union dissolve,0.7904,0.9313,0.1409
How does the human immune system recognise pathogens,conceptual,How does the human immune system recognise pathogens do system of rules pathogen,0.8016,0.8473,0.0457
Why did the Roman Empire decline and fall,conceptual,Why did the Roman Empire decline and fall do roman type roman letters roman print descent autumn evenfall drop,0.8015,0.8653,0.0638
How does CRISPR gene editing technology work,conceptual,How does CRISPR gene editing technology work do edit edit out engineering engineering science piece of work employment workplace,0.8218,0.6358,-0.1860
What causes the northern lights aurora borealis,conceptual,What causes the northern lights aurora borealis cause northerly light visible light light source brightness,0.8193,0.3869,-0.4324
How did the Industrial Revolution change labour conditions,conceptual,How did the Industrial Revolution change labour conditions do alter modify switch condition atmospheric condition precondition circumstance,0.8979,0.9087,0.0109
Why is the sky blue Rayleigh scattering explanation,conceptual,Why is the sky blue Rayleigh scattering explanation be bluish blueish blue-blooded third baron rayleigh lord rayleigh scatter,0.8503,0.7768,-0.0735
How do vaccines produce immunity in the human body,conceptual,How do vaccines produce immunity in the human body vaccine vaccinum make grow granting immunity dead body torso,0.6340,0.8132,0.1792
What caused the 2008 global financial crisis,conceptual,What caused the 2008 global financial crisis cause world worldwide world-wide fiscal,0.6251,0.6309,0.0058
How does natural selection drive speciation,conceptual,How does natural selection drive speciation do choice option pick thrust driving force driveway,0.5726,0.6255,0.0530
Why do tectonic plates move continental drift mechanism,conceptual,Why do tectonic plates move continental drift mechanism plate home plate plateful crustal plate travel chemical mechanism,0.5902,0.3765,-0.2136
How does the internet route data packets,conceptual,How does the internet route data packets do net cyberspace path road information data point packet packet boat,0.8966,0.6436,-0.2530
What is the role of mitochondria in cellular respiration,conceptual,What is the role of mitochondria in cellular respiration be part character theatrical role mitochondrion internal respiration cellular respiration breathing,0.5000,0.4306,-0.0694
How did the printing press change the spread of information,conceptual,How did the printing press change the spread of information do printing process pressure public press printing press alteration modification spreading spread head spreadhead info data selective information,0.8476,0.6835,-0.1641
Why does the Moon cause ocean tides gravitational pull,conceptual,Why does the Moon cause ocean tides gravitational pull do lunar month lunation moonlight reason sea tide gravitative pulling twist,0.7835,0.8202,0.0367
How do black holes form from collapsing stars,conceptual,How do black holes form from collapsing stars dark blackened pitch-black hole golf hole hollow cakehole take form collapse star superstar star topology,0.9656,0.9741,0.0085
bank,ambiguous,bank depository financial institution banking concern banking company,0.9476,0.8172,-0.1304
python,ambiguous,python,0.0000,0.0000,0.0000
mercury,ambiguous,mercury,1.0000,1.0000,0.0000
crane,ambiguous,crane stephen crane hart crane harold hart crane,0.9691,0.9631,-0.0060
java,ambiguous,java,0.9181,0.9181,0.0000
plate,ambiguous,plate home plate plateful crustal plate,0.8146,0.6524,-0.1622
falcon,ambiguous,falcon,0.8912,0.8912,0.0000
cell,ambiguous,cell electric cell cellular telephone cellular phone,0.9237,0.6598,-0.2639
Amazon,ambiguous,Amazon amazon river,1.0000,0.8547,-0.1453
corona,ambiguous,corona corona discharge,0.3869,0.2891,-0.0978
Byzantine fault tolerance distributed systems,technical,Byzantine fault tolerance distributed systems defect flaw faulting distribute spread system system of rules,0.4131,0.7977,0.3846
Krebs cycle mechanism citric acid intermediates,technical,Krebs cycle mechanism citric acid intermediates hans adolf krebs sir hans adolf krebs cycle per second cycles/second bicycle chemical mechanism battery-acid intermediate,0.9245,0.6724,-0.2521
transformer self-attention mechanism natural language processing,technical,transformer self-attention mechanism natural language processing chemical mechanism linguistic communication speech spoken communication,0.7139,0.7054,-0.0086
Hamming distance error correcting codes binary,technical,Hamming distance error correcting codes binary ham it up ham length mistake erroneousness computer error correct code computer code,0.7700,0.5487,-0.2213
mRNA splicing spliceosome intron exon processing,technical,mRNA splicing spliceosome intron exon processing messenger rna template rna informational rna splice,0.5536,0.4307,-0.1229
Fourier transform signal decomposition frequency domain,technical,Fourier transform signal decomposition frequency domain jean baptiste joseph fourier baron jean baptiste joseph fourier charles fourier vector decomposition decomposition reaction chemical decomposition reaction relative frequency absolute frequency domain of a function knowledge domain,0.9591,0.8775,-0.0816
PageRank algorithm link analysis web graph,technical,PageRank algorithm link analysis web graph algorithmic rule algorithmic program linkup world wide web www,0.8431,0.7346,-0.1085
Nash equilibrium game theory mixed strategy,technical,Nash equilibrium game theory mixed strategy ogden nash chemical equilibrium balance sense of equilibrium hypothesis,0.7474,0.9445,0.1970
renormalization group quantum field theory divergence,technical,renormalization group quantum field theory divergence grouping chemical group mathematical group field of battle field of honor subject field hypothesis divergency,0.7573,0.7106,-0.0466
apoptosis caspase cascade programmed cell death pathway,technical,apoptosis caspase cascade programmed cell death pathway programmed cell death caspase-mediated cell death program programme electric cell cellular telephone cellular phone dying demise destruction nerve pathway,0.9738,0.8712,-0.1026
