query,doc_title,relevant
What country did Marie Curie emigrate from to study in Paris,Edith Somerville,0
What country did Marie Curie emigrate from to study in Paris,Edna Lewis,0
What country did Marie Curie emigrate from to study in Paris,Erika Böhm-Vitense,0
What country did Marie Curie emigrate from to study in Paris,Genetically modified maize,0
What country did Marie Curie emigrate from to study in Paris,Gustav Simon,1
What country did Marie Curie emigrate from to study in Paris,Health care prices in the United States,0
What country did Marie Curie emigrate from to study in Paris,Marie Spartali Stillman,2
What country did Marie Curie emigrate from to study in Paris,Pierre-Alexandre Monsigny,0
What country did Marie Curie emigrate from to study in Paris,Progressive Canadian Party candidates in the 2006 Canadian federal election,0
What country did Marie Curie emigrate from to study in Paris,Sophie Magdalene of Brandenburg-Kulmbach,0
What country did Marie Curie emigrate from to study in Paris,The Ballad of the Green Berets,0
What country did Marie Curie emigrate from to study in Paris,The Burrow (short story),0
What country did Marie Curie emigrate from to study in Paris,Tied aid,1
What country did Marie Curie emigrate from to study in Paris,Édouard Le Roy,1
What element has atomic number 79,Actinium,1
What element has atomic number 79,Alkali metal,1
What element has atomic number 79,Astatine,1
What element has atomic number 79,Atom,1
What element has atomic number 79,Atomic,2
What element has atomic number 79,Atomic absorption spectroscopy,2
What element has atomic number 79,Atomic number,2
What element has atomic number 79,Atomic orbital,2
What element has atomic number 79,Atomic physics,2
What element has atomic number 79,Beta decay,1
What element has atomic number 79,Bohrium,1
What element has atomic number 79,Caesium,1
What element has atomic number 79,Californium,1
What element has atomic number 79,Chalcogen,1
What element has atomic number 79,Chemical element,2
What element has atomic number 79,Curium,1
What is the role of mitochondria in cellular respiration,Adenosine triphosphate,0
What is the role of mitochondria in cellular respiration,Air sac,0
What is the role of mitochondria in cellular respiration,Antioxidant,0
What is the role of mitochondria in cellular respiration,Apoptosis,1
What is the role of mitochondria in cellular respiration,Bicarbonate,0
What is the role of mitochondria in cellular respiration,Biochemistry,0
What is the role of mitochondria in cellular respiration,Biological membrane,1
What is the role of mitochondria in cellular respiration,Blood,0
What is the role of mitochondria in cellular respiration,Botany,0
What is the role of mitochondria in cellular respiration,Cell (biology),0
What is the role of mitochondria in cellular respiration,Coma,0
What is the role of mitochondria in cellular respiration,Cytoplasm,0
What is the role of mitochondria in cellular respiration,Gleysol,0
What is the role of mitochondria in cellular respiration,Glutamate transporter,0
What is the role of mitochondria in cellular respiration,Katanin,0
What is the role of mitochondria in cellular respiration,Lamellipodium,0
What is the role of mitochondria in cellular respiration,MAFA,0
What is the role of mitochondria in cellular respiration,Photosynthetic efficiency,0
What is the role of mitochondria in cellular respiration,Trypsinization,0
What language is spoken in Brazil,Adamic language,2
What language is spoken in Brazil,Afrikaans,1
What language is spoken in Brazil,Afroasiatic languages,2
What language is spoken in Brazil,Arabic,1
What language is spoken in Brazil,Aragonese language,2
What language is spoken in Brazil,Aramaic,1
What language is spoken in Brazil,Austrian German,0
What language is spoken in Brazil,Bambara language,2
What language is spoken in Brazil,Bantu languages,2
What language is spoken in Brazil,Berber languages,2
What language is spoken in Brazil,Brahui language,2
What language is spoken in Brazil,Brasília,1
What language is spoken in Brazil,Brazil,2
What language is spoken in Brazil,Brazilian Armed Forces,2
What language is spoken in Brazil,British English,1
What language is spoken in Brazil,Celtic languages,2
What language is spoken in Brazil,Chinese language,2
What language is spoken in Brazil,Economy of Brazil,2
What language is spoken in Brazil,Edealina,1
What language is spoken in Brazil,Foreign relations of Brazil,2
What language is spoken in Brazil,Geography of Brazil,2
What language is spoken in Brazil,Politics of Brazil,2
What language is spoken in Brazil,Suba people (Tanzania),1
What language is spoken in Brazil,Transport in Brazil,2
What language is spoken in Brazil,Wambule language,2
When was the Eiffel Tower constructed and by whom,Abbey of Saint Peter in the Black Forest,0
When was the Eiffel Tower constructed and by whom,Aelia Capitolina,0
When was the Eiffel Tower constructed and by whom,Alexanderplatz,0
When was the Eiffel Tower constructed and by whom,Allahabad Fort,0
When was the Eiffel Tower constructed and by whom,Babur,0
When was the Eiffel Tower constructed and by whom,Bank of China Tower (Hong Kong),2
When was the Eiffel Tower constructed and by whom,Birds Hill,0
When was the Eiffel Tower constructed and by whom,Buckingham Palace,0
When was the Eiffel Tower constructed and by whom,Czartoryski Palace (Vienna),0
When was the Eiffel Tower constructed and by whom,Driskill Hotel,0
When was the Eiffel Tower constructed and by whom,Eriswil,0
When was the Eiffel Tower constructed and by whom,GWR 4073 Class 4073 Caerphilly Castle,0
When was the Eiffel Tower constructed and by whom,HM Prison Low Newton,0
When was the Eiffel Tower constructed and by whom,Hadrian's Gate,0
When was the Eiffel Tower constructed and by whom,Heeze Castle,0
When was the Eiffel Tower constructed and by whom,Hohenzollern Castle,0
When was the Eiffel Tower constructed and by whom,Khmer architecture,0
When was the Eiffel Tower constructed and by whom,Königsberg Castle,0
When was the Eiffel Tower constructed and by whom,Manulife Place,0
When was the Eiffel Tower constructed and by whom,"Middle Park, Queensland",0
When was the Eiffel Tower constructed and by whom,Palace of Monimail,1
When was the Eiffel Tower constructed and by whom,Pelișor Castle,0
When was the Eiffel Tower constructed and by whom,Si-o-se-pol,0
When was the Eiffel Tower constructed and by whom,"St Ignatius' Church, Richmond",0
When was the Eiffel Tower constructed and by whom,"Westlake, Queensland",0
When was the Eiffel Tower constructed and by whom,Wickford Junction station,0
When was the Eiffel Tower constructed and by whom,"Willerby, East Riding of Yorkshire",0
Which ocean is the deepest Mariana Trench location,Antarctic Circumpolar Current,1
Which ocean is the deepest Mariana Trench location,Atlantic Ocean,2
Which ocean is the deepest Mariana Trench location,Atlantis,0
Which ocean is the deepest Mariana Trench location,Bassas da India,0
Which ocean is the deepest Mariana Trench location,Battle of Peleliu,1
Which ocean is the deepest Mariana Trench location,Biosphere,0
Which ocean is the deepest Mariana Trench location,Cave,0
Which ocean is the deepest Mariana Trench location,Geography of Africa,0
Which ocean is the deepest Mariana Trench location,Geography of Antarctica,1
Which ocean is the deepest Mariana Trench location,Geography of Cameroon,0
Which ocean is the deepest Mariana Trench location,Geography of Canada,0
Which ocean is the deepest Mariana Trench location,Geography of Cape Verde,1
Which ocean is the deepest Mariana Trench location,Geography of Costa Rica,0
Which ocean is the deepest Mariana Trench location,Geography of the Cayman Islands,0
Which ocean is the deepest Mariana Trench location,Japan-US (cable system),1
Which ocean is the deepest Mariana Trench location,Mysterious Island (Tokyo DisneySea),0
Which ocean is the deepest Mariana Trench location,NPC (cable system),1
Which ocean is the deepest Mariana Trench location,Richardson Bay,0
Which ocean is the deepest Mariana Trench location,T-V-H,0
Which ocean is the deepest Mariana Trench location,"The Grotto, Victoria",1
Which ocean is the deepest Mariana Trench location,Trieste (bathyscaphe),1
Who invented the telephone Alexander Graham Bell,Advanced Mobile Phone System,1
Who invented the telephone Alexander Graham Bell,Agner Krarup Erlang,1
Who invented the telephone Alexander Graham Bell,Alexander Graham Bell,2
Who invented the telephone Alexander Graham Bell,Amplitude modulation,0
Who invented the telephone Alexander Graham Bell,Automatic number announcement circuit,1
Who invented the telephone Alexander Graham Bell,BT Group,0
Who invented the telephone Alexander Graham Bell,Baudot code,1
Who invented the telephone Alexander Graham Bell,Bell (disambiguation),2
Who invented the telephone Alexander Graham Bell,Bell Labs,2
Who invented the telephone Alexander Graham Bell,Bert Bell,2
Who invented the telephone Alexander Graham Bell,Charles Frederic Moberly Bell,2
Who invented the telephone Alexander Graham Bell,Claude Shannon,0
Who invented the telephone Alexander Graham Bell,Frontier California,1
Who invented the telephone Alexander Graham Bell,Frontier Florida,1
Who invented the telephone Alexander Graham Bell,Martin Bell (poet),2
Who invented the telephone Alexander Graham Bell,Telecommunications in Belgium,0
Who invented the telephone Alexander Graham Bell,Telecommunications in Chile,1
Who invented the telephone Alexander Graham Bell,Verizon South,1
Why did the Roman Empire decline and fall,Agrippina the Elder,0
Why did the Roman Empire decline and fall,Alaric I,0
Why did the Roman Empire decline and fall,Alaric II,0
Why did the Roman Empire decline and fall,Almoravid dynasty,1
Why did the Roman Empire decline and fall,Amalaric,0
Why did the Roman Empire decline and fall,Ancient Egypt,0
Why did the Roman Empire decline and fall,Ancus Marcius,1
Why did the Roman Empire decline and fall,Antoninus Pius,1
Why did the Roman Empire decline and fall,Arcadius,1
Why did the Roman Empire decline and fall,Assyria,1
Why did the Roman Empire decline and fall,Attila,1
Why did the Roman Empire decline and fall,Augustus,1
Why did the Roman Empire decline and fall,Battle of Abritus,1
Why did the Roman Empire decline and fall,Book of Hosea,0
Why did the Roman Empire decline and fall,Clunia,1
Why did the Roman Empire decline and fall,Congressional stagnation in the United States,0
Why did the Roman Empire decline and fall,Constantinople,1
Why did the Roman Empire decline and fall,Deglobalization,0
Why did the Roman Empire decline and fall,List of Byzantine emperors,1
Why did the Roman Empire decline and fall,Northern spotted owl,0
Why did the Roman Empire decline and fall,Print Gocco,0
Why did the Roman Empire decline and fall,Severus Alexander,1
Why did the Roman Empire decline and fall,Wyoming toad,0
Why do tectonic plates move continental drift mechanism,Acantharea,0
Why do tectonic plates move continental drift mechanism,Alps,0
Why do tectonic plates move continental drift mechanism,Andes,1
Why do tectonic plates move continental drift mechanism,Antarctic Circumpolar Current,0
Why do tectonic plates move continental drift mechanism,Archipelago,0
Why do tectonic plates move continental drift mechanism,Atlantic Ocean,0
Why do tectonic plates move continental drift mechanism,Azores,0
Why do tectonic plates move continental drift mechanism,Book of Mormon,1
Why do tectonic plates move continental drift mechanism,Burgess Shale,0
Why do tectonic plates move continental drift mechanism,Coast,0
Why do tectonic plates move continental drift mechanism,Continental Europe,2
Why do tectonic plates move continental drift mechanism,Cultural movement,2
Why do tectonic plates move continental drift mechanism,Dust collector,0
Why do tectonic plates move continental drift mechanism,Geography of Costa Rica,0
Why do tectonic plates move continental drift mechanism,Geography of the Cayman Islands,0
Why do tectonic plates move continental drift mechanism,Great Sumatran fault,0
Why do tectonic plates move continental drift mechanism,Instinctive drift,2
Why do tectonic plates move continental drift mechanism,Methana Volcano,0
Why do tectonic plates move continental drift mechanism,Oldest dated rocks,0
Why do tectonic plates move continental drift mechanism,Rotary vane pump,0
Why do tectonic plates move continental drift mechanism,Swing-piston engine,1
Why does the Moon cause ocean tides gravitational pull,Acantharea,0
Why does the Moon cause ocean tides gravitational pull,Adrastea (moon),2
Why does the Moon cause ocean tides gravitational pull,Albert Einstein,0
Why does the Moon cause ocean tides gravitational pull,Anchor,0
Why does the Moon cause ocean tides gravitational pull,Antarctic Circumpolar Current,1
Why does the Moon cause ocean tides gravitational pull,Arabian Sea,1
Why does the Moon cause ocean tides gravitational pull,Astronomical unit,0
Why does the Moon cause ocean tides gravitational pull,Atlantic Ocean,2
Why does the Moon cause ocean tides gravitational pull,Balboa,0
Why does the Moon cause ocean tides gravitational pull,Baltic Sea,1
Why does the Moon cause ocean tides gravitational pull,Bassas da India,0
Why does the Moon cause ocean tides gravitational pull,Battle of the Nile,0
Why does the Moon cause ocean tides gravitational pull,Big Bang,0
Why does the Moon cause ocean tides gravitational pull,Black hole,0
Why does the Moon cause ocean tides gravitational pull,Bucket argument,0
Why does the Moon cause ocean tides gravitational pull,Carbon dioxide,0
Why does the Moon cause ocean tides gravitational pull,Coast,1
Why does the Moon cause ocean tides gravitational pull,Geography of Cameroon,0
Why does the Moon cause ocean tides gravitational pull,Inflation (cosmology),0
Why does the Moon cause ocean tides gravitational pull,Kick the Moon,2
Why does the Moon cause ocean tides gravitational pull,Mass-to-light ratio,0
Why does the Moon cause ocean tides gravitational pull,Moondance Jam,2
Why does the Moon cause ocean tides gravitational pull,Mr Moon,2
Why does the Moon cause ocean tides gravitational pull,Physical cosmology,0
Why is the sky blue Rayleigh scattering explanation,Aberration,0
Why is the sky blue Rayleigh scattering explanation,Aberration (astronomy),0
Why is the sky blue Rayleigh scattering explanation,Afterglow,0
Why is the sky blue Rayleigh scattering explanation,Albedo,0
Why is the sky blue Rayleigh scattering explanation,Allies of the Night,0
Why is the sky blue Rayleigh scattering explanation,Altair,0
Why is the sky blue Rayleigh scattering explanation,Amateur astronomy,0
Why is the sky blue Rayleigh scattering explanation,Amy Barger,0
Why is the sky blue Rayleigh scattering explanation,Antares,0
Why is the sky blue Rayleigh scattering explanation,Apparent magnitude,0
Why is the sky blue Rayleigh scattering explanation,Beer–Lambert law,0
Why is the sky blue Rayleigh scattering explanation,Black,0
Why is the sky blue Rayleigh scattering explanation,Blue,2
Why is the sky blue Rayleigh scattering explanation,Blue Angels,2
Why is the sky blue Rayleigh scattering explanation,Colloid,0
Why is the sky blue Rayleigh scattering explanation,Condensed matter physics,0
Why is the sky blue Rayleigh scattering explanation,High-energy X-rays,0
Why is the sky blue Rayleigh scattering explanation,Naoto Takenaka,0
Why is the sky blue Rayleigh scattering explanation,Particle aggregation,0
Why is the sky blue Rayleigh scattering explanation,Physical cosmology,0
Why is the sky blue Rayleigh scattering explanation,Skyrack,0
Year Charles Darwin published On the Origin of Species,A. E. van Vogt,0
Year Charles Darwin published On the Origin of Species,Alfred Russel Wallace,0
Year Charles Darwin published On the Origin of Species,Amit Chaudhuri,0
Year Charles Darwin published On the Origin of Species,Anaïs Nin,0
Year Charles Darwin published On the Origin of Species,Animalia (book),1
Year Charles Darwin published On the Origin of Species,Ardipithecus,1
Year Charles Darwin published On the Origin of Species,Atmoda,1
Year Charles Darwin published On the Origin of Species,August Derleth,0
Year Charles Darwin published On the Origin of Species,Australasian Post,1
Year Charles Darwin published On the Origin of Species,Biostatistics,0
Year Charles Darwin published On the Origin of Species,Black-faced monarch,0
Year Charles Darwin published On the Origin of Species,C. S. Forester,0
Year Charles Darwin published On the Origin of Species,Carl Linnaeus,0
Year Charles Darwin published On the Origin of Species,Charles Foran,2
Year Charles Darwin published On the Origin of Species,Common descent,1
Year Charles Darwin published On the Origin of Species,Cryptozoology,0
Year Charles Darwin published On the Origin of Species,Flock of Dodos,0
Year Charles Darwin published On the Origin of Species,Flowering Plants: Evolution Above the Species Level,2
Year Charles Darwin published On the Origin of Species,Jean-Baptiste Édouard Bornet,0
Year Charles Darwin published On the Origin of Species,List of newspapers in Belarus,1
Year Charles Darwin published On the Origin of Species,Lyndall Ryan,0
Year Charles Darwin published On the Origin of Species,Marilyn Kaye,0
Year Charles Darwin published On the Origin of Species,Nicolás Monardes,1
Year Charles Darwin published On the Origin of Species,Outline of biology,1
Year Charles Darwin published On the Origin of Species,Praxis School,1
Year Charles Darwin published On the Origin of Species,Ukridge's Accident Syndicate,0
Year Charles Darwin published On the Origin of Species,Ukridge's Dog College,0
Year the Berlin Wall fell,2006 European cold wave,0
Year the Berlin Wall fell,Adolphe Sax,0
Year the Berlin Wall fell,Afghan Turkestan,0
Year the Berlin Wall fell,Albert Speer,0
Year the Berlin Wall fell,Alexanderplatz,1
Year the Berlin Wall fell,Battle of Białystok–Minsk,0
Year the Berlin Wall fell,Battle of Blenheim,0
Year the Berlin Wall fell,Berlin,2
Year the Berlin Wall fell,Berlin Wall,2
Year the Berlin Wall fell,Cold War (1948–1953),0
Year the Berlin Wall fell,Crimean offensive,0
Year the Berlin Wall fell,Czartoryski Palace (Vienna),0
Year the Berlin Wall fell,Edward Craven Walker,0
Year the Berlin Wall fell,"Gilbert Talbot, 7th Earl of Shrewsbury",0
Year the Berlin Wall fell,Glanrhyd Bridge collapse,1
Year the Berlin Wall fell,Hohenzollern Castle,0
Year the Berlin Wall fell,Main battery,0
Year the Berlin Wall fell,Marcel Berlins,2
Year the Berlin Wall fell,Miracle of the House of Brandenburg,0
Year the Berlin Wall fell,New Haven County Cutters,0
Year the Berlin Wall fell,North American blizzard of 2006,0
Year the Berlin Wall fell,Palais Lanckoroński,0
Year the Berlin Wall fell,Sender Freies Berlin,2
Year the Berlin Wall fell,The Committee,0
Year the Berlin Wall fell,Warschauer Straße (Berlin U-Bahn),2
Year the Berlin Wall fell,William Heaton Cooper,0
Year the Berlin Wall fell,Červené Dřevo,0
Year the Soviet Union dissolved,Aleksandr Solzhenitsyn,1
Year the Soviet Union dissolved,Alexander Kerensky,0
Year the Soviet Union dissolved,Alkali,0
Year the Soviet Union dissolved,Anti-Ballistic Missile Treaty,1
Year the Soviet Union dissolved,Azerbaijan,0
Year the Soviet Union dissolved,Azerbaijani Armed Forces,0
Year the Soviet Union dissolved,Bauxite,0
Year the Soviet Union dissolved,Belarus,0
Year the Soviet Union dissolved,Bicarbonate,0
Year the Soviet Union dissolved,Boiler water,0
Year the Soviet Union dissolved,Bolsheviks,0
Year the Soviet Union dissolved,Branco River,0
Year the Soviet Union dissolved,Brezhnev Doctrine,1
Year the Soviet Union dissolved,Cold War (1948–1953),0
Year the Soviet Union dissolved,Czechoslovakia,0
Year the Soviet Union dissolved,Foreign relations of Belarus,1
Year the Soviet Union dissolved,Industrial water treatment,0
Year the Soviet Union dissolved,New Country (Armenia),0
Year the Soviet Union dissolved,Oboronprom,0
Year the Soviet Union dissolved,People's Party (Greece),0
Year the Soviet Union dissolved,Politics of Armenia,0
Year the Soviet Union dissolved,Politics of Chad,0
Year the Soviet Union dissolved,Politics of the Central African Republic,0
Year the Soviet Union dissolved,Royal High Corstorphine RFC,1
Year the Soviet Union dissolved,Saugus Advertiser,0
Year the Soviet Union dissolved,Étoile Nord-Africaine,1
apoptosis caspase cascade programmed cell death pathway,2003 in association football,1
apoptosis caspase cascade programmed cell death pathway,Adenosine triphosphate,1
apoptosis caspase cascade programmed cell death pathway,Antibody,0
apoptosis caspase cascade programmed cell death pathway,Antigen,1
apoptosis caspase cascade programmed cell death pathway,Apoptosis,2
apoptosis caspase cascade programmed cell death pathway,Biochemistry,0
apoptosis caspase cascade programmed cell death pathway,Black Death,2
apoptosis caspase cascade programmed cell death pathway,Capital punishment,1
apoptosis caspase cascade programmed cell death pathway,Circle of Death,2
apoptosis caspase cascade programmed cell death pathway,Confluency,1
apoptosis caspase cascade programmed cell death pathway,Gleem,0
apoptosis caspase cascade programmed cell death pathway,K252a,1
apoptosis caspase cascade programmed cell death pathway,Leukocyte-promoting factor,0
apoptosis caspase cascade programmed cell death pathway,MAFA,1
apoptosis caspase cascade programmed cell death pathway,Meiocyte,1
apoptosis caspase cascade programmed cell death pathway,Monoamine oxidase A,0
apoptosis caspase cascade programmed cell death pathway,Neuroimmune system,0
apoptosis caspase cascade programmed cell death pathway,Outline of biology,0
apoptosis caspase cascade programmed cell death pathway,Phosphatidylserine,1
apoptosis caspase cascade programmed cell death pathway,Rolling circle replication,0
bank,Asian Development Bank,2
bank,Australian Payments Network,0
bank,Bank of China Tower (Hong Kong),2
bank,Bank of England,2
bank,Bank of Italy,2
bank,Bookkeeping,0
bank,Bumiputra-Commerce Holdings,1
bank,Central bank,2
bank,Economy of Benin,0
bank,Economy of Cyprus,1
bank,List of governors of the State Bank of Pakistan,2
bank,Payable-through account,1
bank,Quick Wertkarte,1
bank,Saudi Payments Network,0
cell,Apoptosis,1
cell,Biological membrane,1
cell,Brainfuck,0
cell,Cell (biology),2
cell,Confluency,1
cell,Cytoplasm,1
cell,Filopodia,1
cell,Grandmother cell,2
cell,Intracrine,1
cell,Katanin,0
cell,Lamellipodium,1
cell,Meiocyte,1
cell,Truncated 5-cell,2
cell,Trypsinization,1
corona,ARCAspace,0
corona,Acapulco,0
corona,Aldebaran,0
corona,Alfonso the Battler,0
corona,Aparecida do Rio Doce,0
corona,Apollo 17,0
corona,Boötes,0
corona,Bryozoa,0
corona,California Institute of Technology,0
corona,Canadian Geophysical Union,0
corona,Coat of arms of Bucharest,0
corona,Cola de mono,0
corona,Consejo Coordinador Argentino Sindical,0
corona,Coronary artery disease,2
corona,Horizon Power,0
corona,LVI Legislature of the Mexican Congress,0
corona,Martin Albrecht,0
corona,Meanings of minor planet names: 107001–108000,0
corona,Nanaya,0
corona,Palacio Salvo,0
corona,Reno-Sparks Convention Center,0
corona,Vallabhbhai Kathiria,0
corona,Vincent Schaefer,0
crane,Ajax,0
crane,American National Standards Institute,0
crane,Army of Darkness,0
crane,Bagpipes,0
crane,Bare-throated tiger heron,0
crane,Barkston Ash Wapentake,0
crane,Bassoon,0
crane,Blue crane,2
crane,Carabiner,0
crane,Climbing,0
crane,Crane shot,2
crane,"Crouching Tiger, Hidden Dragon",0
crane,Eastern spinebill,0
crane,John Gavanti,1
crane,M9 Armored Combat Earthmover,0
crane,Maguhu,0
crane,Niangua River,0
crane,Sam Newfield,0
crane,USS John F. Kennedy (CVN-79),0
crane,White Farm Equipment,0
falcon,AGM-65 Maverick,0
falcon,AIM-54 Phoenix,0
falcon,Apollo 15,0
falcon,Atlanta Falcons,2
falcon,Bald eagle,0
falcon,Bird,0
falcon,Brighton Watambwa,0
falcon,Caladrius,0
falcon,Common hawk-cuckoo,0
falcon,Curtiss F6C Hawk,0
falcon,Falconry training and technique,2
falcon,Kentlake High School,0
falcon,Laura Johnson,1
falcon,List of Falcon Crest episodes,2
falcon,Margaret Ladd,1
falcon,Metal Slug Advance,0
falcon,Rhythm Pigs,0
falcon,Richardson Bay,0
falcon,Rodolfo Falcón,0
falcon,Terry W. Virts,0
falcon,The Courtship of Princess Leia,0
falcon,Tickford,0
falcon,Whiteshell Provincial Park,0
java,AVR32,0
java,AWK,0
java,Applet,0
java,ArgoUML,1
java,BASIC,0
java,Bruce Ellis,0
java,Computer programming,0
java,Computer science,0
java,Green junglefowl,1
java,Here Come the Mummies,0
java,Java annotation,2
java,Occidozyga,1
java,Oji,0
java,Open implementation,0
java,Pecel,1
java,SAP NetWeaver Application Server,0
java,Software,0
java,UMLet,1
java,Yogyakarta Sultanate,1
mRNA splicing spliceosome intron exon processing,Alpha helix,0
mRNA splicing spliceosome intron exon processing,Apoptosis,0
mRNA splicing spliceosome intron exon processing,ArcInfo,0
mRNA splicing spliceosome intron exon processing,Audio signal processing,2
mRNA splicing spliceosome intron exon processing,Base pair,0
mRNA splicing spliceosome intron exon processing,Bioinformatics,0
mRNA splicing spliceosome intron exon processing,Burroughs Corporation,0
mRNA splicing spliceosome intron exon processing,CSN3,0
mRNA splicing spliceosome intron exon processing,Chordate,0
mRNA splicing spliceosome intron exon processing,Code,1
mRNA splicing spliceosome intron exon processing,Computational linguistics,0
mRNA splicing spliceosome intron exon processing,Computer fan,0
mRNA splicing spliceosome intron exon processing,Country code,1
mRNA splicing spliceosome intron exon processing,Dynamic Materials Corporation,0
mRNA splicing spliceosome intron exon processing,Filopodia,0
mRNA splicing spliceosome intron exon processing,Histidine decarboxylase,0
mRNA splicing spliceosome intron exon processing,Ligation,0
mRNA splicing spliceosome intron exon processing,MAFA,0
mRNA splicing spliceosome intron exon processing,Monoamine oxidase A,0
mRNA splicing spliceosome intron exon processing,Multiple sequence alignment,0
mRNA splicing spliceosome intron exon processing,Nepenthes hamata,0
mRNA splicing spliceosome intron exon processing,Outline of biology,0
mRNA splicing spliceosome intron exon processing,SRE,0
mRNA splicing spliceosome intron exon processing,Transgene,0
mRNA splicing spliceosome intron exon processing,Triphone,1
mRNA splicing spliceosome intron exon processing,Zebrafish,0
mercury,Aluminium,0
mercury,Astatine,0
mercury,Bach (disambiguation),0
mercury,Beryllium,0
mercury,Bromine,0
mercury,Caesium,0
mercury,Calcium,0
mercury,Californium,0
mercury,Carbon,0
mercury,Chalcogen,0
mercury,Chemical element,0
mercury,Ford AOD transmission,0
mercury,Ford ATX transmission,0
mercury,Ford C3 transmission,0
mercury,Ford CD4E transmission,0
mercury,International Programme on Chemical Safety,0
mercury,Lincoln Cosmopolitan,0
mercury,Mad About the Boy,0
mercury,Mercury 13,2
mercury,Oakville Assembly,0
mercury,Sosay,0
mercury,Zhang Sixun,0
plate,2006 Under-19 Cricket World Cup,0
plate,A capriccio,0
plate,Ames test,0
plate,Andes,0
plate,Armour,0
plate,At bat,1
plate,Baseball,0
plate,Blech,0
plate,Body,0
plate,Coroplast,0
plate,Geography of Costa Rica,0
plate,Great Sumatran fault,0
plate,Hit by pitch,0
plate,List of Picasso artworks 1921–1930,0
plate,Minidish,0
plate,Nestor's Cup,0
plate,Ogawa Kazumasa,0
plate,On-base percentage,0
plate,On-base plus slugging,0
plate,Plate appearance,2
plate,Tostado,0
plate,Upper crust,0
plate,Vehicle registration plates of Montenegro,2
python,AWK,0
python,Algorithms for calculating variance,0
python,Anaconda,0
python,Argument (disambiguation),0
python,Berkeley DB,0
python,Bioinformatics,0
python,Bruce Ellis,0
python,Compiler,0
python,Computer program,0
python,Computer programming,0
python,Computer science,0
python,Computing,0
python,Etoys (programming language),0
python,Gauss–Seidel method,0
python,Giant Viper,0
python,Jacobi method,0
python,List of artificial intelligence projects,0
python,Monkey patch,0
python,PL-1,0
python,Robot software,0
python,Software,0
python,Successive over-relaxation,0
python,Çay,0
renormalization group quantum field theory divergence,Alain Connes,0
renormalization group quantum field theory divergence,Albert Einstein,0
renormalization group quantum field theory divergence,Antiparticle,0
renormalization group quantum field theory divergence,Axiom,0
renormalization group quantum field theory divergence,BCS theory,2
renormalization group quantum field theory divergence,BQP,1
renormalization group quantum field theory divergence,BSE,0
renormalization group quantum field theory divergence,Black hole,1
renormalization group quantum field theory divergence,Bohr model,0
renormalization group quantum field theory divergence,Bose–Einstein condensate,0
renormalization group quantum field theory divergence,Brian Conrad,0
renormalization group quantum field theory divergence,Butterfly effect,1
renormalization group quantum field theory divergence,Condensed matter physics,1
renormalization group quantum field theory divergence,Copenhagen interpretation,1
renormalization group quantum field theory divergence,Friedwardt Winterberg,0
renormalization group quantum field theory divergence,Hai Deng,0
renormalization group quantum field theory divergence,Heaviside–Lorentz units,0
renormalization group quantum field theory divergence,Inflation (cosmology),1
renormalization group quantum field theory divergence,Lev Pavlovich Rapoport,1
renormalization group quantum field theory divergence,Myōshin-ji,0
renormalization group quantum field theory divergence,Nachbin's theorem,0
renormalization group quantum field theory divergence,Nonlocal Lagrangian,1
renormalization group quantum field theory divergence,Reno-Sparks Convention Center,0
renormalization group quantum field theory divergence,Zhangye,0
transformer self-attention mechanism natural language processing,Alan Kay,0
transformer self-attention mechanism natural language processing,Allophone,1
transformer self-attention mechanism natural language processing,American English,1
transformer self-attention mechanism natural language processing,American Sign Language,2
transformer self-attention mechanism natural language processing,Ammeter,0
transformer self-attention mechanism natural language processing,Anagram,0
transformer self-attention mechanism natural language processing,Analog television,0
transformer self-attention mechanism natural language processing,Aphasia,1
transformer self-attention mechanism natural language processing,ArcInfo,0
transformer self-attention mechanism natural language processing,Artificial intelligence,0
transformer self-attention mechanism natural language processing,B (programming language),2
transformer self-attention mechanism natural language processing,Bidirectional text,0
transformer self-attention mechanism natural language processing,Code,1
transformer self-attention mechanism natural language processing,Cognitive science,0
transformer self-attention mechanism natural language processing,Computational linguistics,1
transformer self-attention mechanism natural language processing,Histidine decarboxylase,0
transformer self-attention mechanism natural language processing,John Minsheu,0
transformer self-attention mechanism natural language processing,List of artificial intelligence projects,0
transformer self-attention mechanism natural language processing,Michael L. Chyet,1
transformer self-attention mechanism natural language processing,Phases of speech,0
transformer self-attention mechanism natural language processing,Software,0
transformer self-attention mechanism natural language processing,Triphone,1
